code,label,type,min,max,step,description,direct,category,active,has_team,overall,home,away,id,inplay_only
o15_cards_for_1h_per,+1.5 1H Cards For %,per,0,100,1,Percentage of matches where the Total Cards ended with 2 cards or above CONCEIVED FOR this team.,,cards,1,,o15_cards_for_1h_overall_per,o15_cards_for_1h_home_per,o15_cards_for_1h_away_per,17,
o15_cards_against_2h_per,+1.5 2H Cards Against %,per,0,100,1,Percentage of matches where the Total Cards ended with 2 cards and above CONCEDED AGAINST this team.,,cards,1,,o15_cards_against_2h_overall_per,o15_cards_against_2h_home_per,o15_cards_against_2h_away_per,18,
o15_cards_for_2h_per,+1.5 2H Cards For %,per,0,100,1,Percentage of matches where the Total cards CONCEIVED FOR this team ended with 2 cards or above in the 2nd half,,cards,1,,o15_cards_for_2h_overall_per,o15_cards_for_2h_home_per,o15_cards_for_2h_away_per,19,
o15_cards_against_per,+1.5 Cards Against %,per,0,100,1,Percentage of matches where the Total Cards  CONCEIVED FOR this team ended with 3 cards and above,,cards,1,,o15_cards_against_overall_per,o15_cards_against_home_per,o15_cards_against_away_per,20,
o15_cards_for_per,+1.5 Cards For %,per,0,100,1,Percentage of matches where the Total Cards AGAINST team ended above 1 card or above,,cards,1,,o15_cards_for_overall_per,o15_cards_for_home_per,o15_cards_for_away_per,21,
o25_cards_against_per,+2.5 Cards Against %,per,0,100,1,Percentage of matches where the Total Cards CONCEDED AGAINST this team ended with 3 cards or above,,cards,1,,o25_cards_against_overall_per,o25_cards_against_home_per,o25_cards_against_away_per,22,
o25_cards_for_per,+2.5 Cards For %,per,0,100,1,Percentage of matches where the Total Cards CONCEIVED FOR this team ended with 2 cards or above,,cards,1,,o25_cards_for_overall_per,o25_cards_for_home_per,o25_cards_for_away_per,23,
o35_cards_per,+3.5 Cards %,per,0,100,1,Percentage of matches where the Total cards ended with 4 cards or above,,cards,1,,o35_cards_overall_per,o35_cards_home_per,o35_cards_away_per,24,
o45_cards_per,+4.5 Cards %,per,0,100,1,Percentage of matches where the Total cards ended with 5 cards or above,,cards,1,,o45_cards_overall_per,o45_cards_home_per,o45_cards_away_per,25,
o55_cards_per,+5.5 Cards %,per,0,100,1,Percentage of matches where the Total cards ended with 6 cards or above,,cards,1,,o55_cards_overall_per,o55_cards_home_per,o55_cards_away_per,26,
corner_timings_mean_avg,AVG Corner Time,avg,0,90,1,The average Time when Corner occurs each time this team plays.,1,corners,1,,,,,27,
corners_against_1h_avg,Corner Against (1H AVG),avg,0,15,1,The average number of total corners Conceived AGAINST this team in the 1st Half,,corners,1,,corners_against_1h_overall_avg,corners_against_1h_home_avg,corners_against_1h_away_avg,28,
corners_against_2h_avg,Corner Against (2H AVG),avg,0,15,1,The average number of total corners AGAINST this team in 2nd Half,,corners,1,,corners_against_2h_overall_avg,corners_against_2h_home_avg,corners_against_2h_away_avg,29,
corners_against_avg,Corner Against (AVG),avg,0,15,1,The average number of total corners Conceded AGAINST team,,corners,1,,corners_against_overall_avg,corners_against_home_avg,corners_against_away_avg,30,
corners_between_0_10_against_per,10 Min Corner (Against) %,per,0,100,1,Percentage of matches where there were corners in the first 10minutes AGAINST this team,,corners,1,,corners_between_0_10_against_overall_per,corners_between_0_10_against_home_per,corners_between_0_10_against_away_per,31,
corners_between_0_10_for_per,10 Min Corner (For) %,per,0,100,1,Percentage of matches where there were corners in the first 10minutes FOR this team,,corners,1,,corners_between_0_10_for_overall_per,corners_between_0_10_for_home_per,corners_between_0_10_for_away_per,32,
corners_between_0_10_per,10 Min Corner %,per,0,100,1,Percentage of matches where there were corners in the first 10minutes,,corners,1,,corners_between_0_10_overall_per,corners_between_0_10_home_per,corners_between_0_10_away_per,33,
corners_between_35_45_per,35-45 Min Corner %,per,0,100,1,Percentage of times where there were corners in 35-45th minute’s time frame.,,corners,1,,corners_between_35_45_overall_per,corners_between_35_45_home_per,corners_between_35_45_away_per,34,
corners_between_80_90_per,80-90 Min Corner %,per,0,100,1,Percentage of times where there were corners in 80-90th minute’s time frame.,,corners,1,,corners_between_80_90_overall_per,corners_between_80_90_home_per,corners_between_80_90_away_per,35,
corners_for_1h_avg,Corner For (1H AVG),avg,0,15,1,The average number of total corners Conceived FOR this team in 1st Half,,corners,1,,corners_for_1h_overall_avg,corners_for_1h_home_avg,corners_for_1h_away_avg,36,
corners_for_2h_avg,Corner For (2H AVG),avg,0,15,1,The average number of total corners FOR this team in 2nd half.,,corners,1,,corners_for_2h_overall_avg,corners_for_2h_home_avg,corners_for_2h_away_avg,37,
corners_for_avg,Corner For (AVG),avg,0,15,1,The average number of total corners conceived FOR team,,corners,1,,corners_for_overall_avg,corners_for_home_avg,corners_for_away_avg,38,
corners_total_1h_avg,Corners Total (1H AVG),avg,0,15,1,The average number of total corners in 1st Half,,corners,1,,corners_total_1h_overall_avg,corners_total_1h_home_avg,corners_total_1h_away_avg,39,
corners_total_2h_avg,Corners Total (2H AVG),avg,0,15,1,The average number of total corners in 2nd half.,,corners,1,,corners_total_2h_overall_avg,corners_total_2h_home_avg,corners_total_2h_away_avg,40,
corners_total_avg,Corners Total (AVG),avg,0,15,1,The average number of total corners,,corners,1,,corners_total_overall_avg,corners_total_home_avg,corners_total_away_avg,41,
